,YEAR,MONTH,DAY
1,1911,1,1
2,1911,1,2
3,1911,1,3
4,1911,1,4
5,1911,1,5
6,1911,1,6
7,1911,1,7
8,1911,1,8
9,1911,1,9
10,1911,1,10
11,1911,1,11
12,1911,1,12
13,1911,1,13
14,1911,1,14
15,1911,1,15
16,1911,1,16
17,1911,1,17
18,1911,1,18
19,1911,1,19
20,1911,1,20
21,1911,1,21
22,1911,1,22
23,1911,1,23
24,1911,1,24
25,1911,1,25
26,1911,1,26
27,1911,1,27
28,1911,1,28
29,1911,1,29
30,1911,1,30
31,1911,1,31
32,1911,2,1
33,1911,2,2
34,1911,2,3
35,1911,2,4
36,1911,2,5
37,1911,2,6
38,1911,2,7
39,1911,2,8
40,1911,2,9
41,1911,2,10
42,1911,2,11
43,1911,2,12
44,1911,2,13
45,1911,2,14
46,1911,2,15
47,1911,2,16
48,1911,2,17
49,1911,2,18
50,1911,2,19
51,1911,2,20
52,1911,2,21
53,1911,2,22
54,1911,2,23
55,1911,2,24
56,1911,2,25
57,1911,2,26
58,1911,2,27
59,1911,2,28
60,1911,3,1
61,1911,3,2
62,1911,3,3
63,1911,3,4
64,1911,3,5
65,1911,3,6
66,1911,3,7
67,1911,3,8
68,1911,3,9
69,1911,3,10
70,1911,3,11
71,1911,3,12
72,1911,3,13
73,1911,3,14
74,1911,3,15
75,1911,3,16
76,1911,3,17
77,1911,3,18
78,1911,3,19
79,1911,3,20
80,1911,3,21
81,1911,3,22
82,1911,3,23
83,1911,3,24
84,1911,3,25
85,1911,3,26
86,1911,3,27
87,1911,3,28
88,1911,3,29
89,1911,3,30
90,1911,3,31
91,1911,4,1
92,1911,4,2
93,1911,4,3
94,1911,4,4
95,1911,4,5
96,1911,4,6
97,1911,4,7
98,1911,4,8
99,1911,4,9
100,1911,4,10
101,1911,4,11
102,1911,4,12
103,1911,4,13
104,1911,4,14
105,1911,4,15
106,1911,4,16
107,1911,4,17
108,1911,4,18
109,1911,4,19
110,1911,4,20
111,1911,4,21
112,1911,4,22
113,1911,4,23
114,1911,4,24
115,1911,4,25
116,1911,4,26
117,1911,4,27
118,1911,4,28
119,1911,4,29
120,1911,4,30
121,1911,5,1
122,1911,5,2
123,1911,5,3
124,1911,5,4
125,1911,5,5
126,1911,5,6
127,1911,5,7
128,1911,5,8
129,1911,5,9
130,1911,5,10
131,1911,5,11
132,1911,5,12
133,1911,5,13
134,1911,5,14
135,1911,5,15
136,1911,5,16
137,1911,5,17
138,1911,5,18
139,1911,5,19
140,1911,5,20
141,1911,5,21
142,1911,5,22
143,1911,5,23
144,1911,5,24
145,1911,5,25
146,1911,5,26
147,1911,5,27
148,1911,5,28
149,1911,5,29
150,1911,5,30
151,1911,5,31
152,1911,6,1
153,1911,6,2
154,1911,6,3
155,1911,6,4
156,1911,6,5
157,1911,6,6
158,1911,6,7
159,1911,6,8
160,1911,6,9
161,1911,6,10
162,1911,6,11
163,1911,6,12
164,1911,6,13
165,1911,6,14
166,1911,6,15
167,1911,6,16
168,1911,6,17
169,1911,6,18
170,1911,6,19
171,1911,6,20
172,1911,6,21
173,1911,6,22
174,1911,6,23
175,1911,6,24
176,1911,6,25
177,1911,6,26
178,1911,6,27
179,1911,6,28
180,1911,6,29
181,1911,6,30
182,1911,7,1
183,1911,7,2
184,1911,7,3
185,1911,7,4
186,1911,7,5
187,1911,7,6
188,1911,7,7
189,1911,7,8
190,1911,7,9
191,1911,7,10
192,1911,7,11
193,1911,7,12
194,1911,7,13
195,1911,7,14
196,1911,7,15
197,1911,7,16
198,1911,7,17
199,1911,7,18
200,1911,7,19
201,1911,7,20
202,1911,7,21
203,1911,7,22
204,1911,7,23
205,1911,7,24
206,1911,7,25
207,1911,7,26
208,1911,7,27
209,1911,7,28
210,1911,7,29
211,1911,7,30
212,1911,7,31
213,1911,8,1
214,1911,8,2
215,1911,8,3
216,1911,8,4
217,1911,8,5
218,1911,8,6
219,1911,8,7
220,1911,8,8
221,1911,8,9
222,1911,8,10
223,1911,8,11
224,1911,8,12
225,1911,8,13
226,1911,8,14
227,1911,8,15
228,1911,8,16
229,1911,8,17
230,1911,8,18
231,1911,8,19
232,1911,8,20
233,1911,8,21
234,1911,8,22
235,1911,8,23
236,1911,8,24
237,1911,8,25
238,1911,8,26
239,1911,8,27
240,1911,8,28
241,1911,8,29
242,1911,8,30
243,1911,8,31
244,1911,9,1
245,1911,9,2
246,1911,9,3
247,1911,9,4
248,1911,9,5
249,1911,9,6
250,1911,9,7
251,1911,9,8
252,1911,9,9
253,1911,9,10
254,1911,9,11
255,1911,9,12
256,1911,9,13
257,1911,9,14
258,1911,9,15
259,1911,9,16
260,1911,9,17
261,1911,9,18
262,1911,9,19
263,1911,9,20
264,1911,9,21
265,1911,9,22
266,1911,9,23
267,1911,9,24
268,1911,9,25
269,1911,9,26
270,1911,9,27
271,1911,9,28
272,1911,9,29
273,1911,9,30
274,1911,10,1
275,1911,10,2
276,1911,10,3
277,1911,10,4
278,1911,10,5
279,1911,10,6
280,1911,10,7
281,1911,10,8
282,1911,10,9
283,1911,10,10
284,1911,10,11
285,1911,10,12
286,1911,10,13
287,1911,10,14
288,1911,10,15
289,1911,10,16
290,1911,10,17
291,1911,10,18
292,1911,10,19
293,1911,10,20
294,1911,10,21
295,1911,10,22
296,1911,10,23
297,1911,10,24
298,1911,10,25
299,1911,10,26
300,1911,10,27
301,1911,10,28
302,1911,10,29
303,1911,10,30
304,1911,10,31
305,1911,11,1
306,1911,11,2
307,1911,11,3
308,1911,11,4
309,1911,11,5
310,1911,11,6
311,1911,11,7
312,1911,11,8
313,1911,11,9
314,1911,11,10
315,1911,11,11
316,1911,11,12
317,1911,11,13
318,1911,11,14
319,1911,11,15
320,1911,11,16
321,1911,11,17
322,1911,11,18
323,1911,11,19
324,1911,11,20
325,1911,11,21
326,1911,11,22
327,1911,11,23
328,1911,11,24
329,1911,11,25
330,1911,11,26
331,1911,11,27
332,1911,11,28
333,1911,11,29
334,1911,11,30
335,1911,12,1
336,1911,12,2
337,1911,12,3
338,1911,12,4
339,1911,12,5
340,1911,12,6
341,1911,12,7
342,1911,12,8
343,1911,12,9
344,1911,12,10
345,1911,12,11
346,1911,12,12
347,1911,12,13
348,1911,12,14
349,1911,12,15
350,1911,12,16
351,1911,12,17
352,1911,12,18
353,1911,12,19
354,1911,12,20
355,1911,12,21
356,1911,12,22
357,1911,12,23
358,1911,12,24
359,1911,12,25
360,1911,12,26
361,1911,12,27
362,1911,12,28
363,1911,12,29
364,1911,12,30
365,1911,12,31
366,1912,1,1
367,1912,1,2
368,1912,1,3
369,1912,1,4
370,1912,1,5
371,1912,1,6
372,1912,1,7
373,1912,1,8
374,1912,1,9
375,1912,1,10
376,1912,1,11
377,1912,1,12
378,1912,1,13
379,1912,1,14
380,1912,1,15
381,1912,1,16
382,1912,1,17
383,1912,1,18
384,1912,1,19
385,1912,1,20
386,1912,1,21
387,1912,1,22
388,1912,1,23
389,1912,1,24
390,1912,1,25
391,1912,1,26
392,1912,1,27
393,1912,1,28
394,1912,1,29
395,1912,1,30
396,1912,1,31
397,1912,2,1
398,1912,2,2
399,1912,2,3
400,1912,2,4
401,1912,2,5
402,1912,2,6
403,1912,2,7
404,1912,2,8
405,1912,2,9
406,1912,2,10
407,1912,2,11
408,1912,2,12
409,1912,2,13
410,1912,2,14
411,1912,2,15
412,1912,2,16
413,1912,2,17
414,1912,2,18
415,1912,2,19
416,1912,2,20
417,1912,2,21
418,1912,2,22
419,1912,2,23
420,1912,2,24
421,1912,2,25
422,1912,2,26
423,1912,2,27
424,1912,2,28
425,1912,2,29
426,1912,3,1
427,1912,3,2
428,1912,3,3
429,1912,3,4
430,1912,3,5
431,1912,3,6
432,1912,3,7
433,1912,3,8
434,1912,3,9
435,1912,3,10
436,1912,3,11
437,1912,3,12
438,1912,3,13
439,1912,3,14
440,1912,3,15
441,1912,3,16
442,1912,3,17
443,1912,3,18
444,1912,3,19
445,1912,3,20
446,1912,3,21
447,1912,3,22
448,1912,3,23
449,1912,3,24
450,1912,3,25
451,1912,3,26
452,1912,3,27
453,1912,3,28
454,1912,3,29
455,1912,3,30
456,1912,3,31
457,1912,4,1
458,1912,4,2
459,1912,4,3
460,1912,4,4
461,1912,4,5
462,1912,4,6
463,1912,4,7
464,1912,4,8
465,1912,4,9
466,1912,4,10
467,1912,4,11
468,1912,4,12
469,1912,4,13
470,1912,4,14
471,1912,4,15
472,1912,4,16
473,1912,4,17
474,1912,4,18
475,1912,4,19
476,1912,4,20
477,1912,4,21
478,1912,4,22
479,1912,4,23
480,1912,4,24
481,1912,4,25
482,1912,4,26
483,1912,4,27
484,1912,4,28
485,1912,4,29
486,1912,4,30
487,1912,5,1
488,1912,5,2
489,1912,5,3
490,1912,5,4
491,1912,5,5
492,1912,5,6
493,1912,5,7
494,1912,5,8
495,1912,5,9
496,1912,5,10
497,1912,5,11
498,1912,5,12
499,1912,5,13
500,1912,5,14
501,1912,5,15
502,1912,5,16
503,1912,5,17
504,1912,5,18
505,1912,5,19
506,1912,5,20
507,1912,5,21
508,1912,5,22
509,1912,5,23
510,1912,5,24
511,1912,5,25
512,1912,5,26
513,1912,5,27
514,1912,5,28
515,1912,5,29
516,1912,5,30
517,1912,5,31
518,1912,6,1
519,1912,6,2
520,1912,6,3
521,1912,6,4
522,1912,6,5
523,1912,6,6
524,1912,6,7
525,1912,6,8
526,1912,6,9
527,1912,6,10
528,1912,6,11
529,1912,6,12
530,1912,6,13
531,1912,6,14
532,1912,6,15
533,1912,6,16
534,1912,6,17
535,1912,6,18
