,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,19.0,383.0,3688.0,40.0,10990.0,40.0,3671.0,27.0,10976.0,27.0,11359.0,11024.0,10995.0
logical reads,4043.0,808321.0,11126130.0,38975864.0,34713103.0,46445969.0,8073346.0,32208894.0,24214163.0,32213766.0,25102998.0,24364718.0,24298351.0
physical reads,7.0,220.0,2102.0,6.0,8404.0,7.0,2424.0,6.0,5977.0,6.0,7252.0,7086.0,5377.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,3883.0,804300.0,8038425.0,32196206.0,24125512.0,32196220.0,8040836.0,32196237.0,24106153.0,32196246.0,25020604.0,24287902.0,24237402.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment skipped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu time,1.499,126.407,1320.077,2365.793,4479.593,4228.0,931.968,1633.822,2826.4210000000003,2408.579,2148.783,2145.467,2137.797
elapsed time,1.223,18.417,194.95200000000003,386.657,717.548,727.004,131.067,217.132,373.879,311.676,285.53,282.149,281.793
total logical reads,4043.0,808321.0,11126130.0,38975864.0,34713103.0,46445969.0,8073346.0,32208894.0,24214163.0,32213766.0,25102998.0,24364718.0,24298351.0
total read-aheads,3883.0,804300.0,8038425.0,32196206.0,24125512.0,32196220.0,8040836.0,32196237.0,24106153.0,32196246.0,25020604.0,24287902.0,24237402.0
cpu parallelisation,1.2256745707277188,6.863604278655589,6.771292420698427,6.118583136992219,6.242917546979435,5.815648882261995,7.110622811233949,7.524556490982444,7.559721193220267,7.727829540933534,7.525594508457956,7.604021279536699,7.586409172690592
segment efficiency,,,,,,,,,,,,,
